Year,Cumulative dh (m)
1998.8568763131445,-1.99615202405809
1998.9654176647953,-1.94212949040151
1999.073959016446,-1.88086003149832
1999.1825003680965,-1.82683749784174
1999.2910417197472,-1.76556803893855
1999.3959949275418,-1.76227398200827
1999.4390526538164,-1.9572821522808
1999.4658355847432,-2.14777275876323
1999.5120713812905,-2.2710740154592
1999.6166657746992,-2.2392534255127
1999.72520712635,-2.16678417304656
1999.8337484780006,-2.08904442949197
1999.9422898296514,-2.03831595276567
2000.0508311813019,-1.98165817356487
2000.1593725329526,-1.92631801713617
2000.2679138846033,-1.85846044437242
2000.345208483506,-1.93916483916426
2000.3961900274633,-2.12124383598545
2000.431430726051,-2.29995818894213
2000.4701954944978,-2.49898981446522
2000.5343335659277,-2.66484558090478
2000.6428749175784,-2.67868062001196
2000.7514162692291,-2.62399927496932
2000.8599576208796,-2.57063555269879
2000.9684989725304,-2.51595420765616
2001.077040324181,-2.46588454231591
2001.1855816758318,-2.40263864925455
2001.2982344423176,-2.36129823477955
2001.3688333084888,-2.50494264591779
2001.4158209066059,-2.69163724393772
2001.4562302409868,-2.89110023405882
2001.4958564487322,-3.08538684900376
2001.5901448956206,-3.18728301004707
2001.6986862472713,-3.14116621302315
2001.807227598922,-3.08780249075263
2001.9157689505726,-3.03443876848211
2002.0243103022233,-2.97975742343947
2002.132851653874,-2.92441726701078
2002.2413930055247,-2.85590088286097
2002.330199565966,-2.86521835817805
2002.385018430436,-3.05478872018472
2002.4246446381817,-3.23274099568492
2002.458475708826,-3.40666720160366
2002.505839207728,-3.59218848791699
2002.606486642895,-3.67875630404473
2002.7150279945458,-3.62407495900209
2002.8235693461963,-3.57071123673157
2002.932110697847,-3.51668870307499
2003.0406520494978,-3.46003092387418
2003.1491934011485,-3.40534957883155
2003.257734752799,-3.33551557190963
2003.3416076154383,-3.37647167974277
2003.3897111690108,-3.56428782571752
2003.4304141758798,-3.74183749425957
2003.4649500604958,-3.92844581935989
2003.5241544341236,-4.1148894416137
